id	project	name	bps	sequences	biome	feature	material	sequencing_type	sequencing_method	avg_seq_length
4447970.3	The oral metagenome in health and disease	CA_05_4.6	27669924	70503	human-associated habitat	human-associated habitat	human-associated habitat	WGS	454	392.464
4447971.3	The oral metagenome in health and disease	CA_06_1.6	37519874	97722	human-associated habitat	human-associated habitat	human-associated habitat	WGS	454	383.945
4440275.3	cDNA - Plymouth Marine Lab Coastal Waters project	1-19-DNA-flx	59316369	344216	marine habitat	marine habitat	marine habitat	WGS	454	172.323
4440276.3	cDNA - Plymouth Marine Lab Coastal Waters project	6-19-DNA-flx	68187679	304020	marine habitat	marine habitat	marine habitat	WGS	454	224.287
4440279.3	Northern Line Islands 	FannLIMic20050811	30909241	290844	marine habitat	marine habitat	marine habitat	WGS	454	106.274
4440280.3	Northern Line Islands 	FannLIVir20050811	39607682	380355	marine habitat	marine habitat	marine habitat	WGS	454	104.133
4440281.3	Soudan Mine Metagenome	RedSoudMineMic20050331	35439683	334386	mine drainage	mine drainage	mine drainage	WGS	454	105.984
4440282.3	Soudan Mine Metagenome	BlackSoudMineMic20050331	38502057	388627	mine drainage	mine drainage	mine drainage	WGS	454	99.072
4440283.3	Chicken Cecum Microbiome	Chicken Cecum A	32296796	310801	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	103.915
4440284.3	Chicken Cecum Microbiome	Chicken_Cecum_B	26378422	254712	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	103.562
4440285.3	Chicken Cecum Microbiome	Chicken Cecum A Contigs	3382776	27476	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	123.117
4440286.3	Chicken Cecum Microbiome	Chicken Cecum B Contigs	2487532	22821	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	109.002
4440026.3	Human Lung Healthy vs Cystic Fibrosis Metagenome	CFLungPat001Rep1SDVir20060505	4090704	50909	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	80.353
4440036.3	Northern Line Islands 	KingLIVir20050821	10283401	94915	marine habitat	marine habitat	marine habitat	WGS	454	108.343
4440037.3	Northern Line Islands 	KingLIMic20050821	19753735	188445	marine habitat	marine habitat	marine habitat	WGS	454	104.825
4440038.3	Northern Line Islands 	XmasLIVir20050805	31332362	283390	marine habitat	marine habitat	marine habitat	WGS	454	110.563
4440039.3	Northern Line Islands 	PalmLIMic20050818	37055255	351205	marine habitat	marine habitat	marine habitat	WGS	454	105.509
4440040.3	Northern Line Islands 	PalmLIVir20050818	37461045	358983	marine habitat	marine habitat	marine habitat	WGS	454	104.353
4440041.3	Northern Line Islands 	XmasLIMic20050805	23693344	227542	marine habitat	marine habitat	marine habitat	WGS	454	104.127
4440052.3	Mosquito Metagenome	Mosq1SDVir20060125	34895936	340098	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	unknown	102.606
4440051.3	Human Lung Healthy vs Cystic Fibrosis Metagenome	CFLungPat001Rep2SDVir20060505	87736215	838932	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	104.581
4440053.3	Mosquito Metagenome	MosqDigSDVir20060606	81923676	810301	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	unknown	101.103
4440054.3	Mosquito Metagenome	Mosq2SDVir2060606	84803776	810891	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	unknown	104.581
